"","rn","1","variable","estimate"
"730","Driven_Wheelsfour wheel drive:Engine.Cylinders.Clean10",0,"Driven_Wheelsfour wheel drive:Engine.Cylinders.Clean10",0
"731","Driven_Wheelsfront wheel drive:Engine.Cylinders.Clean10",0,"Driven_Wheelsfront wheel drive:Engine.Cylinders.Clean10",0
"732","Driven_Wheelsrear wheel drive:Engine.Cylinders.Clean10",0.000171279080270906,"Driven_Wheelsrear wheel drive:Engine.Cylinders.Clean10",0.000171279080270906
"733","Driven_Wheelsfour wheel drive:Engine.Cylinders.Clean12",0,"Driven_Wheelsfour wheel drive:Engine.Cylinders.Clean12",0
"734","Driven_Wheelsfront wheel drive:Engine.Cylinders.Clean12",0,"Driven_Wheelsfront wheel drive:Engine.Cylinders.Clean12",0
"735","Driven_Wheelsrear wheel drive:Engine.Cylinders.Clean12",0,"Driven_Wheelsrear wheel drive:Engine.Cylinders.Clean12",0
"736","Driven_Wheelsfour wheel drive:Engine.Cylinders.Clean16",0,"Driven_Wheelsfour wheel drive:Engine.Cylinders.Clean16",0
"737","Driven_Wheelsfront wheel drive:Engine.Cylinders.Clean16",0,"Driven_Wheelsfront wheel drive:Engine.Cylinders.Clean16",0
"738","Driven_Wheelsrear wheel drive:Engine.Cylinders.Clean16",0,"Driven_Wheelsrear wheel drive:Engine.Cylinders.Clean16",0
"739","Driven_Wheelsfour wheel drive:NumDoors.Clean3",0,"Driven_Wheelsfour wheel drive:NumDoors.Clean3",0
"740","Driven_Wheelsfront wheel drive:NumDoors.Clean3",0,"Driven_Wheelsfront wheel drive:NumDoors.Clean3",0
"741","Driven_Wheelsrear wheel drive:NumDoors.Clean3",0,"Driven_Wheelsrear wheel drive:NumDoors.Clean3",0
"742","Driven_Wheelsfour wheel drive:NumDoors.Clean4",0,"Driven_Wheelsfour wheel drive:NumDoors.Clean4",0
"743","Driven_Wheelsfront wheel drive:NumDoors.Clean4",0,"Driven_Wheelsfront wheel drive:NumDoors.Clean4",0
"744","Driven_Wheelsrear wheel drive:NumDoors.Clean4",0,"Driven_Wheelsrear wheel drive:NumDoors.Clean4",0
"745","Vehicle.Style2dr SUV:highway.MPG",0,"Vehicle.Style2dr SUV:highway.MPG",0
"746","Vehicle.Style4dr Hatchback:highway.MPG",0,"Vehicle.Style4dr Hatchback:highway.MPG",0
"747","Vehicle.Style4dr SUV:highway.MPG",0,"Vehicle.Style4dr SUV:highway.MPG",0
"748","Vehicle.StyleCargo Minivan:highway.MPG",0,"Vehicle.StyleCargo Minivan:highway.MPG",0
"749","Vehicle.StyleCargo Van:highway.MPG",0,"Vehicle.StyleCargo Van:highway.MPG",0
"750","Vehicle.StyleConvertible:highway.MPG",0,"Vehicle.StyleConvertible:highway.MPG",0
"751","Vehicle.StyleConvertible SUV:highway.MPG",0,"Vehicle.StyleConvertible SUV:highway.MPG",0
"752","Vehicle.StyleCoupe:highway.MPG",0,"Vehicle.StyleCoupe:highway.MPG",0
"753","Vehicle.StyleCrew Cab Pickup:highway.MPG",0,"Vehicle.StyleCrew Cab Pickup:highway.MPG",0
"754","Vehicle.StyleExtended Cab Pickup:highway.MPG",0,"Vehicle.StyleExtended Cab Pickup:highway.MPG",0
"755","Vehicle.StylePassenger Minivan:highway.MPG",0,"Vehicle.StylePassenger Minivan:highway.MPG",0
"756","Vehicle.StylePassenger Van:highway.MPG",0,"Vehicle.StylePassenger Van:highway.MPG",0
"757","Vehicle.StyleRegular Cab Pickup:highway.MPG",0,"Vehicle.StyleRegular Cab Pickup:highway.MPG",0
"758","Vehicle.StyleSedan:highway.MPG",0,"Vehicle.StyleSedan:highway.MPG",0
"759","Vehicle.StyleWagon:highway.MPG",0,"Vehicle.StyleWagon:highway.MPG",0
"760","Vehicle.Style2dr SUV:city.mpg",0.00150167760538984,"Vehicle.Style2dr SUV:city.mpg",0.00150167760538984
"761","Vehicle.Style4dr Hatchback:city.mpg",0.00358308747756613,"Vehicle.Style4dr Hatchback:city.mpg",0.00358308747756613
"762","Vehicle.Style4dr SUV:city.mpg",0,"Vehicle.Style4dr SUV:city.mpg",0
"763","Vehicle.StyleCargo Minivan:city.mpg",0,"Vehicle.StyleCargo Minivan:city.mpg",0
"764","Vehicle.StyleCargo Van:city.mpg",0,"Vehicle.StyleCargo Van:city.mpg",0
"765","Vehicle.StyleConvertible:city.mpg",0,"Vehicle.StyleConvertible:city.mpg",0
"766","Vehicle.StyleConvertible SUV:city.mpg",0,"Vehicle.StyleConvertible SUV:city.mpg",0
"767","Vehicle.StyleCoupe:city.mpg",0,"Vehicle.StyleCoupe:city.mpg",0
"768","Vehicle.StyleCrew Cab Pickup:city.mpg",0,"Vehicle.StyleCrew Cab Pickup:city.mpg",0
"769","Vehicle.StyleExtended Cab Pickup:city.mpg",0,"Vehicle.StyleExtended Cab Pickup:city.mpg",0
"770","Vehicle.StylePassenger Minivan:city.mpg",0,"Vehicle.StylePassenger Minivan:city.mpg",0
"771","Vehicle.StylePassenger Van:city.mpg",0,"Vehicle.StylePassenger Van:city.mpg",0
"772","Vehicle.StyleRegular Cab Pickup:city.mpg",0,"Vehicle.StyleRegular Cab Pickup:city.mpg",0
"773","Vehicle.StyleSedan:city.mpg",0,"Vehicle.StyleSedan:city.mpg",0
"774","Vehicle.StyleWagon:city.mpg",0,"Vehicle.StyleWagon:city.mpg",0
"775","Vehicle.Style2dr SUV:Popularity",0,"Vehicle.Style2dr SUV:Popularity",0
"776","Vehicle.Style4dr Hatchback:Popularity",0,"Vehicle.Style4dr Hatchback:Popularity",0
"777","Vehicle.Style4dr SUV:Popularity",-7.5098634320298e-06,"Vehicle.Style4dr SUV:Popularity",-7.5098634320298e-06
"778","Vehicle.StyleCargo Minivan:Popularity",0,"Vehicle.StyleCargo Minivan:Popularity",0
"779","Vehicle.StyleCargo Van:Popularity",7.33115985904912e-06,"Vehicle.StyleCargo Van:Popularity",7.33115985904912e-06
"780","Vehicle.StyleConvertible:Popularity",-1.03139744599734e-05,"Vehicle.StyleConvertible:Popularity",-1.03139744599734e-05
"781","Vehicle.StyleConvertible SUV:Popularity",0,"Vehicle.StyleConvertible SUV:Popularity",0
"782","Vehicle.StyleCoupe:Popularity",-2.03980930683437e-05,"Vehicle.StyleCoupe:Popularity",-2.03980930683437e-05
"783","Vehicle.StyleCrew Cab Pickup:Popularity",3.7927816707328e-06,"Vehicle.StyleCrew Cab Pickup:Popularity",3.7927816707328e-06
"784","Vehicle.StyleExtended Cab Pickup:Popularity",0,"Vehicle.StyleExtended Cab Pickup:Popularity",0
"785","Vehicle.StylePassenger Minivan:Popularity",7.19510422982371e-06,"Vehicle.StylePassenger Minivan:Popularity",7.19510422982371e-06
"786","Vehicle.StylePassenger Van:Popularity",2.62685727557647e-05,"Vehicle.StylePassenger Van:Popularity",2.62685727557647e-05
"787","Vehicle.StyleRegular Cab Pickup:Popularity",8.85891368403704e-06,"Vehicle.StyleRegular Cab Pickup:Popularity",8.85891368403704e-06
"788","Vehicle.StyleSedan:Popularity",-5.59158376522017e-07,"Vehicle.StyleSedan:Popularity",-5.59158376522017e-07
"789","Vehicle.StyleWagon:Popularity",0,"Vehicle.StyleWagon:Popularity",0
"790","Vehicle.Style2dr SUV:Engine.HP.Clean",0,"Vehicle.Style2dr SUV:Engine.HP.Clean",0
"791","Vehicle.Style4dr Hatchback:Engine.HP.Clean",0,"Vehicle.Style4dr Hatchback:Engine.HP.Clean",0
"792","Vehicle.Style4dr SUV:Engine.HP.Clean",0.000515478126071514,"Vehicle.Style4dr SUV:Engine.HP.Clean",0.000515478126071514
"793","Vehicle.StyleCargo Minivan:Engine.HP.Clean",0,"Vehicle.StyleCargo Minivan:Engine.HP.Clean",0
"794","Vehicle.StyleCargo Van:Engine.HP.Clean",0,"Vehicle.StyleCargo Van:Engine.HP.Clean",0
"795","Vehicle.StyleConvertible:Engine.HP.Clean",0,"Vehicle.StyleConvertible:Engine.HP.Clean",0
"796","Vehicle.StyleConvertible SUV:Engine.HP.Clean",0,"Vehicle.StyleConvertible SUV:Engine.HP.Clean",0
"797","Vehicle.StyleCoupe:Engine.HP.Clean",0,"Vehicle.StyleCoupe:Engine.HP.Clean",0
"798","Vehicle.StyleCrew Cab Pickup:Engine.HP.Clean",0,"Vehicle.StyleCrew Cab Pickup:Engine.HP.Clean",0
"799","Vehicle.StyleExtended Cab Pickup:Engine.HP.Clean",-0.000117067720690715,"Vehicle.StyleExtended Cab Pickup:Engine.HP.Clean",-0.000117067720690715
"800","Vehicle.StylePassenger Minivan:Engine.HP.Clean",0,"Vehicle.StylePassenger Minivan:Engine.HP.Clean",0
"801","Vehicle.StylePassenger Van:Engine.HP.Clean",0,"Vehicle.StylePassenger Van:Engine.HP.Clean",0
"802","Vehicle.StyleRegular Cab Pickup:Engine.HP.Clean",0,"Vehicle.StyleRegular Cab Pickup:Engine.HP.Clean",0
"803","Vehicle.StyleSedan:Engine.HP.Clean",0,"Vehicle.StyleSedan:Engine.HP.Clean",0
"804","Vehicle.StyleWagon:Engine.HP.Clean",0,"Vehicle.StyleWagon:Engine.HP.Clean",0
"805","Vehicle.Style2dr SUV:Engine.Cylinders.Clean4",0.000941663696064311,"Vehicle.Style2dr SUV:Engine.Cylinders.Clean4",0.000941663696064311
"806","Vehicle.Style4dr Hatchback:Engine.Cylinders.Clean4",0,"Vehicle.Style4dr Hatchback:Engine.Cylinders.Clean4",0
"807","Vehicle.Style4dr SUV:Engine.Cylinders.Clean4",0,"Vehicle.Style4dr SUV:Engine.Cylinders.Clean4",0
"808","Vehicle.StyleCargo Minivan:Engine.Cylinders.Clean4",0.0559337270867885,"Vehicle.StyleCargo Minivan:Engine.Cylinders.Clean4",0.0559337270867885
"809","Vehicle.StyleCargo Van:Engine.Cylinders.Clean4",0,"Vehicle.StyleCargo Van:Engine.Cylinders.Clean4",0
"810","Vehicle.StyleConvertible:Engine.Cylinders.Clean4",0,"Vehicle.StyleConvertible:Engine.Cylinders.Clean4",0
"811","Vehicle.StyleConvertible SUV:Engine.Cylinders.Clean4",0,"Vehicle.StyleConvertible SUV:Engine.Cylinders.Clean4",0
"812","Vehicle.StyleCoupe:Engine.Cylinders.Clean4",0,"Vehicle.StyleCoupe:Engine.Cylinders.Clean4",0
"813","Vehicle.StyleCrew Cab Pickup:Engine.Cylinders.Clean4",0.00688636554011073,"Vehicle.StyleCrew Cab Pickup:Engine.Cylinders.Clean4",0.00688636554011073
"814","Vehicle.StyleExtended Cab Pickup:Engine.Cylinders.Clean4",0.062608926645101,"Vehicle.StyleExtended Cab Pickup:Engine.Cylinders.Clean4",0.062608926645101
"815","Vehicle.StylePassenger Minivan:Engine.Cylinders.Clean4",0,"Vehicle.StylePassenger Minivan:Engine.Cylinders.Clean4",0
"816","Vehicle.StylePassenger Van:Engine.Cylinders.Clean4",0,"Vehicle.StylePassenger Van:Engine.Cylinders.Clean4",0
"817","Vehicle.StyleRegular Cab Pickup:Engine.Cylinders.Clean4",-0.0313485087824775,"Vehicle.StyleRegular Cab Pickup:Engine.Cylinders.Clean4",-0.0313485087824775
"818","Vehicle.StyleSedan:Engine.Cylinders.Clean4",-0.0210387601776612,"Vehicle.StyleSedan:Engine.Cylinders.Clean4",-0.0210387601776612
"819","Vehicle.StyleWagon:Engine.Cylinders.Clean4",-0.0149549892775403,"Vehicle.StyleWagon:Engine.Cylinders.Clean4",-0.0149549892775403
"820","Vehicle.Style2dr SUV:Engine.Cylinders.Clean5",0,"Vehicle.Style2dr SUV:Engine.Cylinders.Clean5",0
"821","Vehicle.Style4dr Hatchback:Engine.Cylinders.Clean5",-0.0381412780463529,"Vehicle.Style4dr Hatchback:Engine.Cylinders.Clean5",-0.0381412780463529
"822","Vehicle.Style4dr SUV:Engine.Cylinders.Clean5",0.0905817194842795,"Vehicle.Style4dr SUV:Engine.Cylinders.Clean5",0.0905817194842795
"823","Vehicle.StyleCargo Minivan:Engine.Cylinders.Clean5",0,"Vehicle.StyleCargo Minivan:Engine.Cylinders.Clean5",0
"824","Vehicle.StyleCargo Van:Engine.Cylinders.Clean5",0,"Vehicle.StyleCargo Van:Engine.Cylinders.Clean5",0
"825","Vehicle.StyleConvertible:Engine.Cylinders.Clean5",0.0440866144986034,"Vehicle.StyleConvertible:Engine.Cylinders.Clean5",0.0440866144986034
"826","Vehicle.StyleConvertible SUV:Engine.Cylinders.Clean5",0,"Vehicle.StyleConvertible SUV:Engine.Cylinders.Clean5",0
"827","Vehicle.StyleCoupe:Engine.Cylinders.Clean5",0.131254034655361,"Vehicle.StyleCoupe:Engine.Cylinders.Clean5",0.131254034655361
"828","Vehicle.StyleCrew Cab Pickup:Engine.Cylinders.Clean5",0,"Vehicle.StyleCrew Cab Pickup:Engine.Cylinders.Clean5",0
"829","Vehicle.StyleExtended Cab Pickup:Engine.Cylinders.Clean5",0,"Vehicle.StyleExtended Cab Pickup:Engine.Cylinders.Clean5",0
"830","Vehicle.StylePassenger Minivan:Engine.Cylinders.Clean5",0,"Vehicle.StylePassenger Minivan:Engine.Cylinders.Clean5",0
"831","Vehicle.StylePassenger Van:Engine.Cylinders.Clean5",0,"Vehicle.StylePassenger Van:Engine.Cylinders.Clean5",0
"832","Vehicle.StyleRegular Cab Pickup:Engine.Cylinders.Clean5",0,"Vehicle.StyleRegular Cab Pickup:Engine.Cylinders.Clean5",0
"833","Vehicle.StyleSedan:Engine.Cylinders.Clean5",0.0274195640167919,"Vehicle.StyleSedan:Engine.Cylinders.Clean5",0.0274195640167919
"834","Vehicle.StyleWagon:Engine.Cylinders.Clean5",0,"Vehicle.StyleWagon:Engine.Cylinders.Clean5",0
"835","Vehicle.Style2dr SUV:Engine.Cylinders.Clean6",0,"Vehicle.Style2dr SUV:Engine.Cylinders.Clean6",0
"836","Vehicle.Style4dr Hatchback:Engine.Cylinders.Clean6",0,"Vehicle.Style4dr Hatchback:Engine.Cylinders.Clean6",0
"837","Vehicle.Style4dr SUV:Engine.Cylinders.Clean6",-0.00542139085587831,"Vehicle.Style4dr SUV:Engine.Cylinders.Clean6",-0.00542139085587831
"838","Vehicle.StyleCargo Minivan:Engine.Cylinders.Clean6",-0.047365549739322,"Vehicle.StyleCargo Minivan:Engine.Cylinders.Clean6",-0.047365549739322
"839","Vehicle.StyleCargo Van:Engine.Cylinders.Clean6",0,"Vehicle.StyleCargo Van:Engine.Cylinders.Clean6",0
"840","Vehicle.StyleConvertible:Engine.Cylinders.Clean6",0.0143035358088179,"Vehicle.StyleConvertible:Engine.Cylinders.Clean6",0.0143035358088179
"841","Vehicle.StyleConvertible SUV:Engine.Cylinders.Clean6",0,"Vehicle.StyleConvertible SUV:Engine.Cylinders.Clean6",0
"842","Vehicle.StyleCoupe:Engine.Cylinders.Clean6",0.0123480084182749,"Vehicle.StyleCoupe:Engine.Cylinders.Clean6",0.0123480084182749
"843","Vehicle.StyleCrew Cab Pickup:Engine.Cylinders.Clean6",-0.00133887752304019,"Vehicle.StyleCrew Cab Pickup:Engine.Cylinders.Clean6",-0.00133887752304019
"844","Vehicle.StyleExtended Cab Pickup:Engine.Cylinders.Clean6",0,"Vehicle.StyleExtended Cab Pickup:Engine.Cylinders.Clean6",0
"845","Vehicle.StylePassenger Minivan:Engine.Cylinders.Clean6",0,"Vehicle.StylePassenger Minivan:Engine.Cylinders.Clean6",0
"846","Vehicle.StylePassenger Van:Engine.Cylinders.Clean6",0,"Vehicle.StylePassenger Van:Engine.Cylinders.Clean6",0
"847","Vehicle.StyleRegular Cab Pickup:Engine.Cylinders.Clean6",0,"Vehicle.StyleRegular Cab Pickup:Engine.Cylinders.Clean6",0
"848","Vehicle.StyleSedan:Engine.Cylinders.Clean6",0,"Vehicle.StyleSedan:Engine.Cylinders.Clean6",0
"849","Vehicle.StyleWagon:Engine.Cylinders.Clean6",0.000403871610899574,"Vehicle.StyleWagon:Engine.Cylinders.Clean6",0.000403871610899574
"850","Vehicle.Style2dr SUV:Engine.Cylinders.Clean8",0,"Vehicle.Style2dr SUV:Engine.Cylinders.Clean8",0
"851","Vehicle.Style4dr Hatchback:Engine.Cylinders.Clean8",0,"Vehicle.Style4dr Hatchback:Engine.Cylinders.Clean8",0
"852","Vehicle.Style4dr SUV:Engine.Cylinders.Clean8",0.125927923632091,"Vehicle.Style4dr SUV:Engine.Cylinders.Clean8",0.125927923632091
"853","Vehicle.StyleCargo Minivan:Engine.Cylinders.Clean8",0,"Vehicle.StyleCargo Minivan:Engine.Cylinders.Clean8",0
"854","Vehicle.StyleCargo Van:Engine.Cylinders.Clean8",0,"Vehicle.StyleCargo Van:Engine.Cylinders.Clean8",0
"855","Vehicle.StyleConvertible:Engine.Cylinders.Clean8",0.152369210083176,"Vehicle.StyleConvertible:Engine.Cylinders.Clean8",0.152369210083176
"856","Vehicle.StyleConvertible SUV:Engine.Cylinders.Clean8",0,"Vehicle.StyleConvertible SUV:Engine.Cylinders.Clean8",0
"857","Vehicle.StyleCoupe:Engine.Cylinders.Clean8",0.180841382031755,"Vehicle.StyleCoupe:Engine.Cylinders.Clean8",0.180841382031755
"858","Vehicle.StyleCrew Cab Pickup:Engine.Cylinders.Clean8",0,"Vehicle.StyleCrew Cab Pickup:Engine.Cylinders.Clean8",0
"859","Vehicle.StyleExtended Cab Pickup:Engine.Cylinders.Clean8",-0.0683749162578067,"Vehicle.StyleExtended Cab Pickup:Engine.Cylinders.Clean8",-0.0683749162578067
"860","Vehicle.StylePassenger Minivan:Engine.Cylinders.Clean8",0,"Vehicle.StylePassenger Minivan:Engine.Cylinders.Clean8",0
"861","Vehicle.StylePassenger Van:Engine.Cylinders.Clean8",0.0743010066173886,"Vehicle.StylePassenger Van:Engine.Cylinders.Clean8",0.0743010066173886
"862","Vehicle.StyleRegular Cab Pickup:Engine.Cylinders.Clean8",-0.0746436892013821,"Vehicle.StyleRegular Cab Pickup:Engine.Cylinders.Clean8",-0.0746436892013821
"863","Vehicle.StyleSedan:Engine.Cylinders.Clean8",0.0968013150909308,"Vehicle.StyleSedan:Engine.Cylinders.Clean8",0.0968013150909308
"864","Vehicle.StyleWagon:Engine.Cylinders.Clean8",-0.0530739872406911,"Vehicle.StyleWagon:Engine.Cylinders.Clean8",-0.0530739872406911
"865","Vehicle.Style2dr SUV:Engine.Cylinders.Clean10",0,"Vehicle.Style2dr SUV:Engine.Cylinders.Clean10",0
"866","Vehicle.Style4dr Hatchback:Engine.Cylinders.Clean10",0,"Vehicle.Style4dr Hatchback:Engine.Cylinders.Clean10",0
"867","Vehicle.Style4dr SUV:Engine.Cylinders.Clean10",0,"Vehicle.Style4dr SUV:Engine.Cylinders.Clean10",0
"868","Vehicle.StyleCargo Minivan:Engine.Cylinders.Clean10",0,"Vehicle.StyleCargo Minivan:Engine.Cylinders.Clean10",0
"869","Vehicle.StyleCargo Van:Engine.Cylinders.Clean10",0,"Vehicle.StyleCargo Van:Engine.Cylinders.Clean10",0
"870","Vehicle.StyleConvertible:Engine.Cylinders.Clean10",0,"Vehicle.StyleConvertible:Engine.Cylinders.Clean10",0
"871","Vehicle.StyleConvertible SUV:Engine.Cylinders.Clean10",0,"Vehicle.StyleConvertible SUV:Engine.Cylinders.Clean10",0
"872","Vehicle.StyleCoupe:Engine.Cylinders.Clean10",0.00017509271904871,"Vehicle.StyleCoupe:Engine.Cylinders.Clean10",0.00017509271904871
"873","Vehicle.StyleCrew Cab Pickup:Engine.Cylinders.Clean10",0,"Vehicle.StyleCrew Cab Pickup:Engine.Cylinders.Clean10",0
"874","Vehicle.StyleExtended Cab Pickup:Engine.Cylinders.Clean10",0,"Vehicle.StyleExtended Cab Pickup:Engine.Cylinders.Clean10",0
"875","Vehicle.StylePassenger Minivan:Engine.Cylinders.Clean10",0,"Vehicle.StylePassenger Minivan:Engine.Cylinders.Clean10",0
"876","Vehicle.StylePassenger Van:Engine.Cylinders.Clean10",0,"Vehicle.StylePassenger Van:Engine.Cylinders.Clean10",0
"877","Vehicle.StyleRegular Cab Pickup:Engine.Cylinders.Clean10",0,"Vehicle.StyleRegular Cab Pickup:Engine.Cylinders.Clean10",0
"878","Vehicle.StyleSedan:Engine.Cylinders.Clean10",0,"Vehicle.StyleSedan:Engine.Cylinders.Clean10",0
"879","Vehicle.StyleWagon:Engine.Cylinders.Clean10",0,"Vehicle.StyleWagon:Engine.Cylinders.Clean10",0
"880","Vehicle.Style2dr SUV:Engine.Cylinders.Clean12",0,"Vehicle.Style2dr SUV:Engine.Cylinders.Clean12",0
"881","Vehicle.Style4dr Hatchback:Engine.Cylinders.Clean12",0,"Vehicle.Style4dr Hatchback:Engine.Cylinders.Clean12",0
"882","Vehicle.Style4dr SUV:Engine.Cylinders.Clean12",0,"Vehicle.Style4dr SUV:Engine.Cylinders.Clean12",0
"883","Vehicle.StyleCargo Minivan:Engine.Cylinders.Clean12",0,"Vehicle.StyleCargo Minivan:Engine.Cylinders.Clean12",0
"884","Vehicle.StyleCargo Van:Engine.Cylinders.Clean12",0,"Vehicle.StyleCargo Van:Engine.Cylinders.Clean12",0
"885","Vehicle.StyleConvertible:Engine.Cylinders.Clean12",0,"Vehicle.StyleConvertible:Engine.Cylinders.Clean12",0
"886","Vehicle.StyleConvertible SUV:Engine.Cylinders.Clean12",0,"Vehicle.StyleConvertible SUV:Engine.Cylinders.Clean12",0
"887","Vehicle.StyleCoupe:Engine.Cylinders.Clean12",0,"Vehicle.StyleCoupe:Engine.Cylinders.Clean12",0
"888","Vehicle.StyleCrew Cab Pickup:Engine.Cylinders.Clean12",0,"Vehicle.StyleCrew Cab Pickup:Engine.Cylinders.Clean12",0
"889","Vehicle.StyleExtended Cab Pickup:Engine.Cylinders.Clean12",0,"Vehicle.StyleExtended Cab Pickup:Engine.Cylinders.Clean12",0
"890","Vehicle.StylePassenger Minivan:Engine.Cylinders.Clean12",0,"Vehicle.StylePassenger Minivan:Engine.Cylinders.Clean12",0
"891","Vehicle.StylePassenger Van:Engine.Cylinders.Clean12",0,"Vehicle.StylePassenger Van:Engine.Cylinders.Clean12",0
"892","Vehicle.StyleRegular Cab Pickup:Engine.Cylinders.Clean12",0,"Vehicle.StyleRegular Cab Pickup:Engine.Cylinders.Clean12",0
"893","Vehicle.StyleSedan:Engine.Cylinders.Clean12",0.00727890662657182,"Vehicle.StyleSedan:Engine.Cylinders.Clean12",0.00727890662657182
"894","Vehicle.StyleWagon:Engine.Cylinders.Clean12",0,"Vehicle.StyleWagon:Engine.Cylinders.Clean12",0
"895","Vehicle.Style2dr SUV:Engine.Cylinders.Clean16",0,"Vehicle.Style2dr SUV:Engine.Cylinders.Clean16",0
"896","Vehicle.Style4dr Hatchback:Engine.Cylinders.Clean16",0,"Vehicle.Style4dr Hatchback:Engine.Cylinders.Clean16",0
"897","Vehicle.Style4dr SUV:Engine.Cylinders.Clean16",0,"Vehicle.Style4dr SUV:Engine.Cylinders.Clean16",0
"898","Vehicle.StyleCargo Minivan:Engine.Cylinders.Clean16",0,"Vehicle.StyleCargo Minivan:Engine.Cylinders.Clean16",0
"899","Vehicle.StyleCargo Van:Engine.Cylinders.Clean16",0,"Vehicle.StyleCargo Van:Engine.Cylinders.Clean16",0
"900","Vehicle.StyleConvertible:Engine.Cylinders.Clean16",0,"Vehicle.StyleConvertible:Engine.Cylinders.Clean16",0
"901","Vehicle.StyleConvertible SUV:Engine.Cylinders.Clean16",0,"Vehicle.StyleConvertible SUV:Engine.Cylinders.Clean16",0
"902","Vehicle.StyleCoupe:Engine.Cylinders.Clean16",0,"Vehicle.StyleCoupe:Engine.Cylinders.Clean16",0
"903","Vehicle.StyleCrew Cab Pickup:Engine.Cylinders.Clean16",0,"Vehicle.StyleCrew Cab Pickup:Engine.Cylinders.Clean16",0
"904","Vehicle.StyleExtended Cab Pickup:Engine.Cylinders.Clean16",0,"Vehicle.StyleExtended Cab Pickup:Engine.Cylinders.Clean16",0
"905","Vehicle.StylePassenger Minivan:Engine.Cylinders.Clean16",0,"Vehicle.StylePassenger Minivan:Engine.Cylinders.Clean16",0
"906","Vehicle.StylePassenger Van:Engine.Cylinders.Clean16",0,"Vehicle.StylePassenger Van:Engine.Cylinders.Clean16",0
"907","Vehicle.StyleRegular Cab Pickup:Engine.Cylinders.Clean16",0,"Vehicle.StyleRegular Cab Pickup:Engine.Cylinders.Clean16",0
"908","Vehicle.StyleSedan:Engine.Cylinders.Clean16",0,"Vehicle.StyleSedan:Engine.Cylinders.Clean16",0
"909","Vehicle.StyleWagon:Engine.Cylinders.Clean16",0,"Vehicle.StyleWagon:Engine.Cylinders.Clean16",0
"910","Vehicle.Style2dr SUV:NumDoors.Clean3",0,"Vehicle.Style2dr SUV:NumDoors.Clean3",0
"911","Vehicle.Style4dr Hatchback:NumDoors.Clean3",0,"Vehicle.Style4dr Hatchback:NumDoors.Clean3",0
"912","Vehicle.Style4dr SUV:NumDoors.Clean3",0,"Vehicle.Style4dr SUV:NumDoors.Clean3",0
"913","Vehicle.StyleCargo Minivan:NumDoors.Clean3",0,"Vehicle.StyleCargo Minivan:NumDoors.Clean3",0
"914","Vehicle.StyleCargo Van:NumDoors.Clean3",0,"Vehicle.StyleCargo Van:NumDoors.Clean3",0
"915","Vehicle.StyleConvertible:NumDoors.Clean3",0,"Vehicle.StyleConvertible:NumDoors.Clean3",0
"916","Vehicle.StyleConvertible SUV:NumDoors.Clean3",0,"Vehicle.StyleConvertible SUV:NumDoors.Clean3",0
"917","Vehicle.StyleCoupe:NumDoors.Clean3",0,"Vehicle.StyleCoupe:NumDoors.Clean3",0
"918","Vehicle.StyleCrew Cab Pickup:NumDoors.Clean3",0,"Vehicle.StyleCrew Cab Pickup:NumDoors.Clean3",0
"919","Vehicle.StyleExtended Cab Pickup:NumDoors.Clean3",-0.0288403710742266,"Vehicle.StyleExtended Cab Pickup:NumDoors.Clean3",-0.0288403710742266
"920","Vehicle.StylePassenger Minivan:NumDoors.Clean3",0,"Vehicle.StylePassenger Minivan:NumDoors.Clean3",0
"921","Vehicle.StylePassenger Van:NumDoors.Clean3",0,"Vehicle.StylePassenger Van:NumDoors.Clean3",0
"922","Vehicle.StyleRegular Cab Pickup:NumDoors.Clean3",0,"Vehicle.StyleRegular Cab Pickup:NumDoors.Clean3",0
"923","Vehicle.StyleSedan:NumDoors.Clean3",0,"Vehicle.StyleSedan:NumDoors.Clean3",0
"924","Vehicle.StyleWagon:NumDoors.Clean3",0,"Vehicle.StyleWagon:NumDoors.Clean3",0
"925","Vehicle.Style2dr SUV:NumDoors.Clean4",0,"Vehicle.Style2dr SUV:NumDoors.Clean4",0
"926","Vehicle.Style4dr Hatchback:NumDoors.Clean4",-0.00393448581526341,"Vehicle.Style4dr Hatchback:NumDoors.Clean4",-0.00393448581526341
"927","Vehicle.Style4dr SUV:NumDoors.Clean4",0,"Vehicle.Style4dr SUV:NumDoors.Clean4",0
"928","Vehicle.StyleCargo Minivan:NumDoors.Clean4",0,"Vehicle.StyleCargo Minivan:NumDoors.Clean4",0
"929","Vehicle.StyleCargo Van:NumDoors.Clean4",0,"Vehicle.StyleCargo Van:NumDoors.Clean4",0
"930","Vehicle.StyleConvertible:NumDoors.Clean4",0,"Vehicle.StyleConvertible:NumDoors.Clean4",0
"931","Vehicle.StyleConvertible SUV:NumDoors.Clean4",0,"Vehicle.StyleConvertible SUV:NumDoors.Clean4",0
"932","Vehicle.StyleCoupe:NumDoors.Clean4",-0.029064493958443,"Vehicle.StyleCoupe:NumDoors.Clean4",-0.029064493958443
"933","Vehicle.StyleCrew Cab Pickup:NumDoors.Clean4",0,"Vehicle.StyleCrew Cab Pickup:NumDoors.Clean4",0
"934","Vehicle.StyleExtended Cab Pickup:NumDoors.Clean4",0,"Vehicle.StyleExtended Cab Pickup:NumDoors.Clean4",0
